trip_id,BHI,DKA,STB,BNH,IST,SNY,ASN,BKM,BKA,HJN,CPT,FTM,LBB
NS-WD-BHI-LBB-044,9:53:00,9:55:50,9:57:50,9:59:40,10:02:00,10:03:50,10:06:20,10:08:40,10:11:10,10:13:30,10:15:50,10:19:10,10:22:20
NS-WD-BHI-LBB-045,10:00:30,10:03:20,10:05:20,10:07:10,10:09:30,10:11:20,10:13:50,10:16:10,10:18:40,10:21:00,10:23:20,10:26:40,10:29:50
NS-WD-BHI-LBB-046,10:08:00,10:10:50,10:12:50,10:14:40,10:17:00,10:18:50,10:21:20,10:23:40,10:26:10,10:28:30,10:30:50,10:34:10,10:37:20
NS-WD-BHI-LBB-047,10:16:00,10:18:50,10:20:50,10:22:40,10:25:00,10:26:50,10:29:20,10:31:40,10:34:10,10:36:30,10:38:50,10:42:10,10:45:20
NS-WD-BHI-LBB-048,10:24:30,10:27:20,10:29:20,10:31:10,10:33:30,10:35:20,10:37:50,10:40:10,10:42:40,10:45:00,10:47:20,10:50:40,10:53:50
NS-WD-BHI-LBB-049,10:33:30,10:36:20,10:38:20,10:40:10,10:42:30,10:44:20,10:46:50,10:49:10,10:51:40,10:54:00,10:56:20,10:59:40,11:02:50
NS-WD-BHI-LBB-050,10:43:30,10:46:20,10:48:20,10:50:10,10:52:30,10:54:20,10:56:50,10:59:10,11:01:40,11:04:00,11:06:20,11:09:40,11:12:50
NS-WD-BHI-LBB-051,10:53:30,10:56:20,10:58:20,11:00:10,11:02:30,11:04:20,11:06:50,11:09:10,11:11:40,11:14:00,11:16:20,11:19:40,11:22:50
NS-WD-BHI-LBB-052,11:03:30,11:06:20,11:08:20,11:10:10,11:12:30,11:14:20,11:16:50,11:19:10,11:21:40,11:24:00,11:26:20,11:29:40,11:32:50
NS-WD-BHI-LBB-053,11:13:30,11:16:20,11:18:20,11:20:10,11:22:30,11:24:20,11:26:50,11:29:10,11:31:40,11:34:00,11:36:20,11:39:40,11:42:50
NS-WD-BHI-LBB-054,11:23:30,11:26:20,11:28:20,11:30:10,11:32:30,11:34:20,11:36:50,11:39:10,11:41:40,11:44:00,11:46:20,11:49:40,11:52:50
NS-WD-BHI-LBB-055,11:33:30,11:36:20,11:38:20,11:40:10,11:42:30,11:44:20,11:46:50,11:49:10,11:51:40,11:54:00,11:56:20,11:59:40,12:02:50
NS-WD-BHI-LBB-056,11:43:30,11:46:20,11:48:20,11:50:10,11:52:30,11:54:20,11:56:50,11:59:10,12:01:40,12:04:00,12:06:20,12:09:40,12:12:50
NS-WD-BHI-LBB-057,11:53:30,11:56:20,11:58:20,12:00:10,12:02:30,12:04:20,12:06:50,12:09:10,12:11:40,12:14:00,12:16:20,12:19:40,12:22:50
NS-WD-BHI-LBB-058,12:03:30,12:06:20,12:08:20,12:10:10,12:12:30,12:14:20,12:16:50,12:19:10,12:21:40,12:24:00,12:26:20,12:29:40,12:32:50
NS-WD-BHI-LBB-059,12:13:30,12:16:20,12:18:20,12:20:10,12:22:30,12:24:20,12:26:50,12:29:10,12:31:40,12:34:00,12:36:20,12:39:40,12:42:50
NS-WD-BHI-LBB-060,12:23:30,12:26:20,12:28:20,12:30:10,12:32:30,12:34:20,12:36:50,12:39:10,12:41:40,12:44:00,12:46:20,12:49:40,12:52:50
NS-WD-BHI-LBB-061,12:33:30,12:36:20,12:38:20,12:40:10,12:42:30,12:44:20,12:46:50,12:49:10,12:51:40,12:54:00,12:56:20,12:59:40,13:02:50
NS-WD-BHI-LBB-062,12:43:30,12:46:20,12:48:20,12:50:10,12:52:30,12:54:20,12:56:50,12:59:10,13:01:40,13:04:00,13:06:20,13:09:40,13:12:50
NS-WD-BHI-LBB-063,12:53:30,12:56:20,12:58:20,13:00:10,13:02:30,13:04:20,13:06:50,13:09:10,13:11:40,13:14:00,13:16:20,13:19:40,13:22:50
NS-WD-BHI-LBB-064,13:03:30,13:06:20,13:08:20,13:10:10,13:12:30,13:14:20,13:16:50,13:19:10,13:21:40,13:24:00,13:26:20,13:29:40,13:32:50
NS-WD-BHI-LBB-065,13:13:30,13:16:20,13:18:20,13:20:10,13:22:30,13:24:20,13:26:50,13:29:10,13:31:40,13:34:00,13:36:20,13:39:40,13:42:50
NS-WD-BHI-LBB-066,13:23:30,13:26:20,13:28:20,13:30:10,13:32:30,13:34:20,13:36:50,13:39:10,13:41:40,13:44:00,13:46:20,13:49:40,13:52:50
NS-WD-BHI-LBB-067,13:33:30,13:36:20,13:38:20,13:40:10,13:42:30,13:44:20,13:46:50,13:49:10,13:51:40,13:54:00,13:56:20,13:59:40,14:02:50
NS-WD-BHI-LBB-068,13:43:30,13:46:20,13:48:20,13:50:10,13:52:30,13:54:20,13:56:50,13:59:10,14:01:40,14:04:00,14:06:20,14:09:40,14:12:50
NS-WD-BHI-LBB-069,13:53:30,13:56:20,13:58:20,14:00:10,14:02:30,14:04:20,14:06:50,14:09:10,14:11:40,14:14:00,14:16:20,14:19:40,14:22:50
NS-WD-BHI-LBB-070,14:03:30,14:06:20,14:08:20,14:10:10,14:12:30,14:14:20,14:16:50,14:19:10,14:21:40,14:24:00,14:26:20,14:29:40,14:32:50
NS-WD-BHI-LBB-071,14:13:30,14:16:20,14:18:20,14:20:10,14:22:30,14:24:20,14:26:50,14:29:10,14:31:40,14:34:00,14:36:20,14:39:40,14:42:50
NS-WD-BHI-LBB-072,14:23:30,14:26:20,14:28:20,14:30:10,14:32:30,14:34:20,14:36:50,14:39:10,14:41:40,14:44:00,14:46:20,14:49:40,14:52:50
NS-WD-BHI-LBB-073,14:33:30,14:36:20,14:38:20,14:40:10,14:42:30,14:44:20,14:46:50,14:49:10,14:51:40,14:54:00,14:56:20,14:59:40,15:02:50
NS-WD-BHI-LBB-074,14:43:30,14:46:20,14:48:20,14:50:10,14:52:30,14:54:20,14:56:50,14:59:10,15:01:40,15:04:00,15:06:20,15:09:40,15:12:50
NS-WD-BHI-LBB-075,14:53:30,14:56:20,14:58:20,15:00:10,15:02:30,15:04:20,15:06:50,15:09:10,15:11:40,15:14:00,15:16:20,15:19:40,15:22:50
NS-WD-BHI-LBB-076,15:03:30,15:06:20,15:08:20,15:10:10,15:12:30,15:14:20,15:16:50,15:19:10,15:21:40,15:24:00,15:26:20,15:29:40,15:32:50
NS-WD-BHI-LBB-077,15:13:30,15:16:20,15:18:20,15:20:10,15:22:30,15:24:20,15:26:50,15:29:10,15:31:40,15:34:00,15:36:20,15:39:40,15:42:50
NS-WD-BHI-LBB-078,15:23:30,15:26:20,15:28:20,15:30:10,15:32:30,15:34:20,15:36:50,15:39:10,15:41:40,15:44:00,15:46:20,15:49:40,15:52:50
NS-WD-BHI-LBB-079,15:33:30,15:36:20,15:38:20,15:40:10,15:42:30,15:44:20,15:46:50,15:49:10,15:51:40,15:54:00,15:56:20,15:59:40,16:02:50
NS-WD-BHI-LBB-080,15:42:30,15:45:20,15:47:20,15:49:10,15:51:30,15:53:20,15:55:50,15:58:10,16:00:40,16:03:00,16:05:20,16:08:40,16:11:50
NS-WD-BHI-LBB-081,15:51:00,15:53:50,15:55:50,15:57:40,16:00:00,16:01:50,16:04:20,16:06:40,16:09:10,16:11:30,16:13:50,16:17:10,16:20:20
NS-WD-BHI-LBB-082,15:59:00,16:01:50,16:03:50,16:05:40,16:08:00,16:09:50,16:12:20,16:14:40,16:17:10,16:19:30,16:21:50,16:25:10,16:28:20
NS-WD-BHI-LBB-083,16:06:30,16:09:20,16:11:20,16:13:10,16:15:30,16:17:20,16:19:50,16:22:10,16:24:40,16:27:00,16:29:20,16:32:40,16:35:50
NS-WD-BHI-LBB-084,16:14:00,16:16:50,16:18:50,16:20:40,16:23:00,16:24:50,16:27:20,16:29:40,16:32:10,16:34:30,16:36:50,16:40:10,16:43:20
NS-WD-BHI-LBB-085,16:22:00,16:24:50,16:26:50,16:28:40,16:31:00,16:32:50,16:35:20,16:37:40,16:40:10,16:42:30,16:44:50,16:48:10,16:51:20
NS-WD-BHI-LBB-086,16:29:30,16:32:20,16:34:20,16:36:10,16:38:30,16:40:20,16:42:50,16:45:10,16:47:40,16:50:00,16:52:20,16:55:40,16:58:50
NS-WD-BHI-LBB-087,16:35:30,16:38:20,16:40:20,16:42:10,16:44:30,16:46:20,16:48:50,16:51:10,16:53:40,16:56:00,16:58:20,17:01:40,17:04:50
NS-WD-BHI-LBB-088,16:41:00,16:43:50,16:45:50,16:47:40,16:50:00,16:51:50,16:54:20,16:56:40,16:59:10,17:01:30,17:03:50,17:07:10,17:10:20
NS-WD-BHI-LBB-089,16:46:10,16:49:00,16:51:10,16:53:10,16:55:30,16:57:20,16:59:50,17:02:10,17:04:40,17:07:00,17:09:20,17:12:40,17:15:50
NS-WD-BHI-LBB-090,16:51:10,16:54:00,16:56:10,16:58:10,17:00:30,17:02:20,17:04:50,17:07:10,17:09:40,17:12:00,17:14:20,17:17:40,17:20:50
NS-WD-BHI-LBB-091,16:56:10,16:59:00,17:01:10,17:03:10,17:05:30,17:07:20,17:09:50,17:12:10,17:14:40,17:17:00,17:19:20,17:22:40,17:25:50
NS-WD-BHI-LBB-092,17:01:10,17:04:00,17:06:10,17:08:10,17:10:30,17:12:20,17:14:50,17:17:10,17:19:40,17:22:00,17:24:20,17:27:40,17:30:50
NS-WD-BHI-LBB-093,17:06:10,17:09:00,17:11:10,17:13:10,17:15:30,17:17:20,17:19:50,17:22:10,17:24:40,17:27:00,17:29:20,17:32:40,17:35:50
NS-WD-BHI-LBB-094,17:11:10,17:14:00,17:16:10,17:18:10,17:20:30,17:22:20,17:24:50,17:27:10,17:29:40,17:32:00,17:34:20,17:37:40,17:40:50
NS-WD-BHI-LBB-095,17:16:10,17:19:00,17:21:10,17:23:10,17:25:30,17:27:20,17:29:50,17:32:10,17:34:40,17:37:00,17:39:20,17:42:40,17:45:50
NS-WD-BHI-LBB-096,17:21:10,17:24:00,17:26:10,17:28:10,17:30:30,17:32:20,17:34:50,17:37:10,17:39:40,17:42:00,17:44:20,17:47:40,17:50:50
NS-WD-BHI-LBB-097,17:26:10,17:29:00,17:31:10,17:33:10,17:35:30,17:37:20,17:39:50,17:42:10,17:44:40,17:47:00,17:49:20,17:52:40,17:55:50
NS-WD-BHI-LBB-098,17:31:10,17:34:00,17:36:10,17:38:10,17:40:30,17:42:20,17:44:50,17:47:10,17:49:40,17:52:00,17:54:20,17:57:40,18:00:50
NS-WD-BHI-LBB-099,17:36:20,17:39:10,17:41:20,17:43:20,17:45:40,17:47:30,17:50:00,17:52:20,17:54:50,17:57:10,17:59:30,18:02:50,18:06:00
NS-WD-BHI-LBB-100,17:41:30,17:44:20,17:46:30,17:48:30,17:50:50,17:52:40,17:55:10,17:57:30,18:00:00,18:02:20,18:04:40,18:08:00,18:11:10
NS-WD-BHI-LBB-101,17:46:40,17:49:30,17:51:40,17:53:40,17:56:00,17:57:50,18:00:20,18:02:40,18:05:10,18:07:30,18:09:50,18:13:10,18:16:20
NS-WD-BHI-LBB-102,17:51:40,17:54:30,17:56:40,17:58:40,18:01:00,18:02:50,18:05:20,18:07:40,18:10:10,18:12:30,18:14:50,18:18:10,18:21:20
NS-WD-BHI-LBB-103,17:56:40,17:59:30,18:01:40,18:03:40,18:06:00,18:07:50,18:10:20,18:12:40,18:15:10,18:17:30,18:19:50,18:23:10,18:26:20
NS-WD-BHI-LBB-104,18:01:40,18:04:30,18:06:40,18:08:40,18:11:00,18:12:50,18:15:20,18:17:40,18:20:10,18:22:30,18:24:50,18:28:10,18:31:20
NS-WD-BHI-LBB-105,18:06:40,18:09:30,18:11:40,18:13:40,18:16:00,18:17:50,18:20:20,18:22:40,18:25:10,18:27:30,18:29:50,18:33:10,18:36:20
NS-WD-BHI-LBB-106,18:11:40,18:14:30,18:16:40,18:18:40,18:21:00,18:22:50,18:25:20,18:27:40,18:30:10,18:32:30,18:34:50,18:38:10,18:41:20
NS-WD-BHI-LBB-107,18:16:40,18:19:30,18:21:40,18:23:40,18:26:00,18:27:50,18:30:20,18:32:40,18:35:10,18:37:30,18:39:50,18:43:10,18:46:20
NS-WD-BHI-LBB-108,18:21:40,18:24:30,18:26:40,18:28:40,18:31:00,18:32:50,18:35:20,18:37:40,18:40:10,18:42:30,18:44:50,18:48:10,18:51:20
NS-WD-BHI-LBB-109,18:26:40,18:29:30,18:31:40,18:33:40,18:36:00,18:37:50,18:40:20,18:42:40,18:45:10,18:47:30,18:49:50,18:53:10,18:56:20
NS-WD-BHI-LBB-110,18:31:40,18:34:30,18:36:40,18:38:40,18:41:00,18:42:50,18:45:20,18:47:40,18:50:10,18:52:30,18:54:50,18:58:10,19:01:20
NS-WD-BHI-LBB-111,18:36:40,18:39:30,18:41:40,18:43:40,18:46:00,18:47:50,18:50:20,18:52:40,18:55:10,18:57:30,18:59:50,19:03:10,19:06:20
NS-WD-BHI-LBB-112,18:41:40,18:44:30,18:46:40,18:48:40,18:51:00,18:52:50,18:55:20,18:57:40,19:00:10,19:02:30,19:04:50,19:08:10,19:11:20
NS-WD-BHI-LBB-113,18:48:00,18:50:50,18:52:50,18:54:40,18:57:00,18:58:50,19:01:20,19:03:40,19:06:10,19:08:30,19:10:50,19:14:10,19:17:20
NS-WD-BHI-LBB-114,18:55:00,18:57:50,18:59:50,19:01:40,19:04:00,19:05:50,19:08:20,19:10:40,19:13:10,19:15:30,19:17:50,19:21:10,19:24:20
NS-WD-BHI-LBB-115,19:02:30,19:05:20,19:07:20,19:09:10,19:11:30,19:13:20,19:15:50,19:18:10,19:20:40,19:23:00,19:25:20,19:28:40,19:31:50
NS-WD-BHI-LBB-116,19:10:00,19:12:50,19:14:50,19:16:40,19:19:00,19:20:50,19:23:20,19:25:40,19:28:10,19:30:30,19:32:50,19:36:10,19:39:20
NS-WD-BHI-LBB-117,19:17:30,19:20:20,19:22:20,19:24:10,19:26:30,19:28:20,19:30:50,19:33:10,19:35:40,19:38:00,19:40:20,19:43:40,19:46:50
NS-WD-BHI-LBB-118,19:25:00,19:27:50,19:29:50,19:31:40,19:34:00,19:35:50,19:38:20,19:40:40,19:43:10,19:45:30,19:47:50,19:51:10,19:54:20
