trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI,Full Trip
NS-WD-LBB-BHI-055,11:20:00,11:23:10,11:26:10,11:28:20,11:30:40,11:33:20,11:35:10,11:37:40,11:39:40,11:42:10,11:44:10,11:46:20,11:49:20,0:29:20
NS-WD-LBB-BHI-056,11:30:00,11:33:10,11:36:10,11:38:20,11:40:40,11:43:20,11:45:10,11:47:40,11:49:40,11:52:10,11:54:10,11:56:20,11:59:20,0:29:20
NS-WD-LBB-BHI-057,11:40:00,11:43:10,11:46:10,11:48:20,11:50:40,11:53:20,11:55:10,11:57:40,11:59:40,12:02:10,12:04:10,12:06:20,12:09:20,0:29:20
NS-WD-LBB-BHI-058,11:50:00,11:53:10,11:56:10,11:58:20,12:00:40,12:03:20,12:05:10,12:07:40,12:09:40,12:12:10,12:14:10,12:16:20,12:19:20,0:29:20
NS-WD-LBB-BHI-059,12:00:00,12:03:10,12:06:10,12:08:20,12:10:40,12:13:20,12:15:10,12:17:40,12:19:40,12:22:10,12:24:10,12:26:20,12:29:20,0:29:20
NS-WD-LBB-BHI-060,12:10:00,12:13:10,12:16:10,12:18:20,12:20:40,12:23:20,12:25:10,12:27:40,12:29:40,12:32:10,12:34:10,12:36:20,12:39:20,0:29:20
NS-WD-LBB-BHI-061,12:20:00,12:23:10,12:26:10,12:28:20,12:30:40,12:33:20,12:35:10,12:37:40,12:39:40,12:42:10,12:44:10,12:46:20,12:49:20,0:29:20
NS-WD-LBB-BHI-062,12:30:00,12:33:10,12:36:10,12:38:20,12:40:40,12:43:20,12:45:10,12:47:40,12:49:40,12:52:10,12:54:10,12:56:20,12:59:20,0:29:20
NS-WD-LBB-BHI-063,12:40:00,12:43:10,12:46:10,12:48:20,12:50:40,12:53:20,12:55:10,12:57:40,12:59:40,13:02:10,13:04:10,13:06:20,13:09:20,0:29:20
NS-WD-LBB-BHI-064,12:50:00,12:53:10,12:56:10,12:58:20,13:00:40,13:03:20,13:05:10,13:07:40,13:09:40,13:12:10,13:14:10,13:16:20,13:19:20,0:29:20
NS-WD-LBB-BHI-065,13:00:00,13:03:10,13:06:10,13:08:20,13:10:40,13:13:20,13:15:10,13:17:40,13:19:40,13:22:10,13:24:10,13:26:20,13:29:20,0:29:20
NS-WD-LBB-BHI-066,13:10:00,13:13:10,13:16:10,13:18:20,13:20:40,13:23:20,13:25:10,13:27:40,13:29:40,13:32:10,13:34:10,13:36:20,13:39:20,0:29:20
NS-WD-LBB-BHI-067,13:20:00,13:23:10,13:26:10,13:28:20,13:30:40,13:33:20,13:35:10,13:37:40,13:39:40,13:42:10,13:44:10,13:46:20,13:49:20,0:29:20
NS-WD-LBB-BHI-068,13:30:00,13:33:10,13:36:10,13:38:20,13:40:40,13:43:20,13:45:10,13:47:40,13:49:40,13:52:10,13:54:10,13:56:20,13:59:20,0:29:20
