trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI
NS-WE-LBB-BHI-052,13:40:00,13:42:20,13:45:40,13:47:50,13:50:10,13:52:30,13:54:40,13:57:10,13:59:00,14:01:30,14:04:10,14:06:20,14:09:20
NS-WE-LBB-BHI-053,13:50:00,13:52:20,13:55:40,13:57:50,14:00:10,14:02:30,14:04:40,14:07:10,14:09:00,14:11:30,14:14:10,14:16:20,14:19:20
NS-WE-LBB-BHI-054,14:00:00,14:02:20,14:05:40,14:07:50,14:10:10,14:12:30,14:14:40,14:17:10,14:19:00,14:21:30,14:24:10,14:26:20,14:29:20
NS-WE-LBB-BHI-055,14:10:00,14:12:20,14:15:40,14:17:50,14:20:10,14:22:30,14:24:40,14:27:10,14:29:00,14:31:30,14:34:10,14:36:20,14:39:20
NS-WE-LBB-BHI-056,14:20:00,14:22:20,14:25:40,14:27:50,14:30:10,14:32:30,14:34:40,14:37:10,14:39:00,14:41:30,14:44:10,14:46:20,14:49:20
NS-WE-LBB-BHI-057,14:30:00,14:32:20,14:35:40,14:37:50,14:40:10,14:42:30,14:44:40,14:47:10,14:49:00,14:51:30,14:54:10,14:56:20,14:59:20
NS-WE-LBB-BHI-058,14:40:00,14:42:20,14:45:40,14:47:50,14:50:10,14:52:30,14:54:40,14:57:10,14:59:00,15:01:30,15:04:10,15:06:20,15:09:20
NS-WE-LBB-BHI-059,14:50:00,14:52:20,14:55:40,14:57:50,15:00:10,15:02:30,15:04:40,15:07:10,15:09:00,15:11:30,15:14:10,15:16:20,15:19:20
NS-WE-LBB-BHI-060,15:00:00,15:02:20,15:05:40,15:07:50,15:10:10,15:12:30,15:14:40,15:17:10,15:19:00,15:21:30,15:24:10,15:26:20,15:29:20
NS-WE-LBB-BHI-061,15:10:00,15:12:20,15:15:40,15:17:50,15:20:10,15:22:30,15:24:40,15:27:10,15:29:00,15:31:30,15:34:10,15:36:20,15:39:20
NS-WE-LBB-BHI-062,15:20:00,15:22:20,15:25:40,15:27:50,15:30:10,15:32:30,15:34:40,15:37:10,15:39:00,15:41:30,15:44:10,15:46:20,15:49:20
